nome_municipio,codigo_ibge,idhm_educa,idhm_renda,qtd_pes_baixa_renda,qtd_pes_pob
Santo Antônio do Descoberto (GO),521975,0.556,0.647,10353,21602
Santo Antônio do Grama (MG),316010,0.493,0.626,668,622
Santo Antônio do Içá (AM),130370,0.353,0.438,7947,15593
Santo Antônio do Itambé (MG),316020,0.408,0.537,607,1341
Santo Antônio do Jacinto (MG),316030,0.427,0.575,1843,3810
Santo Antônio do Jardim (SP),354810,0.62,0.703,581,602
Santo Antônio do Leste (MT),510779,0.501,0.658,628,1172
Santo Antônio de Leverger (MT),510780,0.539,0.651,3158,5166
Santo Antônio do Monte (MG),316040,0.615,0.736,3857,1812
Santo Antônio do Palma (RS),431755,0.665,0.787,168,42
Santo Antônio do Paraíso (PR),412430,0.662,0.683,325,312
Santo Antônio do Pinhal (SP),354820,0.632,0.685,1345,749
Santo Antônio do Planalto (RS),431775,0.705,0.701,130,178
Santo Antônio do Retiro (MG),316045,0.469,0.504,702,3992
Santo Antônio do Rio Abaixo (MG),316050,0.591,0.616,331,544
Santo Antônio do Sudoeste (PR),412440,0.543,0.69,2968,2525
Santo Antônio do Tauá (PA),150700,0.561,0.598,4621,14851
Santo Antônio dos Lopes (MA),211030,0.465,0.547,1628,8034
Santo Antônio dos Milagres (PI),220945,0.582,0.524,525,823
Santo Augusto (RS),431780,0.637,0.753,1856,1696
Santo Cristo (RS),431790,0.656,0.746,801,546
Santo Estêvão (BA),292880,0.498,0.611,8947,18770
Santo Expedito (SP),354830,0.714,0.664,316,414
Santo Expedito do Sul (RS),431795,0.677,0.679,269,163
Santo Hipólito (MG),316060,0.536,0.641,454,826
Santo Inácio (PR),412450,0.641,0.746,630,195
Santo Inácio do Piauí (PI),220950,0.546,0.543,455,1735
Santópolis do Aguapeí (SP),354840,0.719,0.68,494,657
Santos (SP),354850,0.807,0.861,16735,33970
Santos Dumont (MG),316070,0.697,0.688,5340,6879
São Benedito (CE),231230,0.531,0.562,8221,20495
São Benedito do Rio Preto (MA),211040,0.452,0.468,1783,13267
São Benedito do Sul (PE),261290,0.406,0.499,1053,5422
São Bentinho (PB),251392,0.491,0.575,603,1909
São Bento (MA),211050,0.545,0.525,3451,18567
São Bento (PB),251390,0.424,0.597,4373,14003
São Bento Abade (MG),316080,0.581,0.651,966,1163
São Bento do Norte (RN),241160,0.415,0.541,935,1167
São Bento do Sapucaí (SP),354860,0.638,0.719,1569,1401
São Bento do Sul (SC),421580,0.719,0.763,5421,3908
São Bento do Tocantins (TO),172010,0.506,0.595,954,2675
São Bento do Trairí (RN),241170,0.525,0.526,559,2143
São Bento do Una (PE),261300,0.446,0.593,7562,22468
São Bernardino (SC),421575,0.577,0.653,419,158
São Bernardo (MA),211060,0.479,0.514,2728,16663
São Bernardo do Campo (SP),354870,0.752,0.807,50122,81195
São Bonifácio (SC),421590,0.622,0.729,250,302
São Borja (RS),431800,0.643,0.72,7068,6977
São Brás (AL),270820,0.48,0.533,1035,3439
São Brás do Suaçuí (MG),316090,0.541,0.675,387,467
São Braz do Piauí (PI),220955,0.514,0.533,622,2591
São Caetano de Odivelas (PA),150710,0.473,0.552,3176,7751
São Caetano do Sul (SP),354880,0.811,0.891,5248,5077
São Caitano (PE),261310,0.469,0.583,4861,16442
São Carlos (SC),421600,0.688,0.763,569,546
São Carlos (SP),354890,0.766,0.788,15046,24514
São Carlos do Ivaí (PR),412460,0.547,0.703,992,977
São Cristóvão (SE),280670,0.581,0.624,13791,26389
São Cristóvão do Sul (SC),421605,0.543,0.667,740,513
São Desidério (BA),292890,0.449,0.584,4543,13831
São Domingos (BA),292895,0.575,0.601,1020,4215
São Domingos (GO),521980,0.445,0.576,1275,3288
São Domingos (PB),251396,0.394,0.555,481,1120
São Domingos (SC),421610,0.675,0.769,980,795
São Domingos (SE),280680,0.471,0.572,1404,4620
São Domingos das Dores (MG),316095,0.539,0.602,1479,1436
São Domingos do Araguaia (PA),150715,0.451,0.629,2498,9921
São Domingos do Azeitão (MA),211065,0.486,0.576,845,4639
São Domingos do Capim (PA),150720,0.382,0.509,3478,19315
São Domingos do Cariri (PB),251394,0.438,0.603,556,1166
São Domingos do Maranhão (MA),211070,0.504,0.549,4098,19068
São Domingos do Norte (ES),320465,0.575,0.679,1297,2559
São Domingos do Prata (MG),316100,0.593,0.674,2373,2269
São Domingos do Sul (RS),431805,0.68,0.78,139,9
São Felipe (BA),292910,0.525,0.565,2526,10872
São Felipe D'Oeste (RO),110148,0.571,0.615,895,449
São Félix (BA),292900,0.583,0.582,1611,4566
São Félix de Balsas (MA),211080,0.43,0.517,559,2218
São Félix de Minas (MG),316105,0.51,0.589,668,1079
São Félix do Araguaia (MT),510785,0.538,0.652,1520,2253
São Félix do Coribe (BA),292905,0.555,0.601,2196,6904
São Félix do Piauí (PI),220960,0.52,0.587,536,934
São Félix do Tocantins (TO),172015,0.446,0.55,502,487
São Félix do Xingu (PA),150730,0.411,0.638,8410,29632
São Fernando (RN),241180,0.508,0.591,741,1216
São Fidélis (RJ),330480,0.611,0.685,4575,8870
São Francisco (MG),316110,0.542,0.595,9294,21663
São Francisco (PB),251398,0.481,0.56,550,1359
São Francisco (SE),280690,0.49,0.564,451,1574
São Francisco (SP),354900,0.658,0.705,394,248
São Francisco de Assis (RS),431810,0.552,0.681,1748,3427
São Francisco de Assis do Piauí (PI),220965,0.336,0.462,704,3460
São Francisco de Goiás (GO),521990,0.509,0.658,967,2094
São Francisco de Itabapoana (RJ),330475,0.533,0.618,6164,16992
São Francisco de Paula (MG),316120,0.537,0.66,960,878
São Francisco de Paula (RS),431820,0.534,0.701,1953,3175
São Francisco de Sales (MG),316130,0.528,0.711,719,1032
São Francisco do Brejão (MA),211085,0.479,0.556,928,4518
São Francisco do Conde (BA),292920,0.587,0.641,4605,18049
São Francisco do Glória (MG),316140,0.541,0.647,868,927
São Francisco do Guaporé (RO),110149,0.462,0.657,3237,3355
São Francisco do Maranhão (MA),211090,0.4,0.503,1089,6695
São Francisco do Oeste (RN),241190,0.547,0.581,723,1528
São Francisco do Pará (PA),150740,0.502,0.571,2657,8129
São Francisco do Piauí (PI),220970,0.448,0.557,574,3020
São Francisco do Sul (SC),421620,0.699,0.74,4403,4356
São Gabriel (BA),292925,0.537,0.55,2825,9284
São Gabriel (RS),431830,0.585,0.711,7251,7882
São Gabriel da Cachoeira (AM),130380,0.476,0.61,8137,31858
São Gabriel da Palha (ES),320470,0.578,0.739,4844,4493
São Gabriel do Oeste (MS),500769,0.608,0.751,4543,2915
São Geraldo (MG),316150,0.507,0.656,1385,1784
São Geraldo da Piedade (MG),316160,0.447,0.625,578,1265
São Geraldo do Araguaia (PA),150745,0.447,0.594,3475,10456
