nome_municipio,codigo_ibge,idhm_educa,idhm_renda,qtd_pes_baixa_renda,qtd_pes_pob
Capinzal (SC),420390,0.659,0.742,1304,676
Capinzal do Norte (MA),210275,0.43,0.517,1251,5882
Capistrano (CE),230290,0.593,0.527,2470,8408
Capitão (RS),430469,0.661,0.747,218,96
Capitão Andrade (MG),311265,0.478,0.63,579,1529
Capitão de Campos (PI),220240,0.465,0.552,1518,6414
Capitão Enéas (MG),311270,0.565,0.573,2579,4892
Capitão Gervásio Oliveira (PI),220245,0.464,0.503,413,2557
Capitão Leônidas Marques (PR),410460,0.623,0.712,1974,2593
Capitão Poço (PA),150230,0.385,0.573,6587,31927
Capitólio (MG),311280,0.612,0.709,1378,841
Capivari (SP),351040,0.669,0.744,3522,7353
Capivari de Baixo (SC),420395,0.716,0.724,1930,773
Capivari do Sul (RS),430467,0.668,0.805,374,556
Capixaba (AC),120017,0.398,0.601,1967,5133
Capoeiras (PE),260380,0.419,0.529,2810,9970
Caputira (MG),311290,0.471,0.609,1457,3499
Caraá (RS),430471,0.505,0.661,630,1165
Caracaraí (RR),140020,0.518,0.601,3708,10257
Caracol (MS),500280,0.522,0.628,1114,1565
Caracol (PI),220250,0.409,0.533,1166,6334
Caraguatatuba (SP),351050,0.705,0.735,15038,24171
Caraí (MG),311300,0.405,0.549,2806,6830
Caraíbas (BA),290689,0.405,0.57,1607,4187
Carambeí (PR),410465,0.64,0.721,3243,2746
Caranaíba (MG),311310,0.533,0.593,263,710
Carandaí (MG),311320,0.622,0.663,3395,3680
Carangola (MG),311330,0.573,0.699,4162,7009
Carapebus (RJ),330093,0.644,0.699,1482,3962
Carapicuíba (SP),351060,0.693,0.721,33230,65397
Caratinga (MG),311340,0.603,0.697,12620,9368
Carauari (AM),130100,0.416,0.534,4035,19073
Caraúbas (PB),250407,0.485,0.58,527,2311
Caraúbas (RN),240230,0.556,0.594,3323,8288
Caraúbas do Piauí (PI),220253,0.347,0.48,909,2989
Caravelas (BA),290690,0.473,0.626,3314,8484
Carazinho (RS),430470,0.707,0.756,6463,4039
Carbonita (MG),311350,0.529,0.617,1687,1846
Cardeal da Silva (BA),290700,0.437,0.523,845,5464
Cardoso (SP),351070,0.636,0.695,1542,862
Cardoso Moreira (RJ),330115,0.534,0.653,1784,3370
Careaçu (MG),311360,0.581,0.666,993,1053
Careiro (AM),130110,0.431,0.515,5152,14652
Careiro da Várzea (AM),130115,0.45,0.523,2366,12352
Cariacica (ES),320130,0.628,0.699,49082,83986
Caridade (CE),230300,0.505,0.528,2011,9665
Caridade do Piauí (PI),220255,0.426,0.52,912,2910
Carinhanha (BA),290710,0.477,0.525,3288,17615
Carira (SE),280140,0.442,0.581,2258,9807
Cariré (CE),230310,0.526,0.537,3536,7358
Cariri do Tocantins (TO),170386,0.549,0.639,756,672
Caririaçu (CE),230320,0.483,0.549,5005,13797
Cariús (CE),230330,0.519,0.546,2423,7458
Carlinda (MT),510279,0.553,0.656,1909,900
Carlópolis (PR),410470,0.625,0.696,2960,2505
Carlos Barbosa (RS),430480,0.724,0.835,742,427
Carlos Chagas (MG),311370,0.513,0.641,3002,4687
Carlos Gomes (RS),430485,0.622,0.732,165,99
Carmésia (MG),311380,0.54,0.631,404,607
Carmo (RJ),330120,0.608,0.683,1785,4275
Carmo da Cachoeira (MG),311390,0.523,0.672,2209,2008
Carmo da Mata (MG),311400,0.572,0.68,1217,1668
Carmo de Minas (MG),311410,0.562,0.668,2314,2142
Carmo do Cajuru (MG),311420,0.605,0.695,1952,1374
Carmo do Paranaíba (MG),311430,0.571,0.713,3783,3445
Carmo do Rio Claro (MG),311440,0.649,0.715,4964,1153
Carmo do Rio Verde (GO),520500,0.649,0.677,1131,2311
Carmolândia (TO),170388,0.521,0.621,467,941
Carmópolis (SE),280150,0.546,0.623,2127,5209
Carmópolis de Minas (MG),311450,0.582,0.694,2630,2607
Carnaíba (PE),260390,0.505,0.54,3537,7583
Carnaúba dos Dantas (RN),240240,0.577,0.624,2020,1636
Carnaubais (RN),240250,0.476,0.583,1504,4478
Carnaubal (CE),230340,0.513,0.536,3279,7019
Carnaubeira da Penha (PE),260392,0.508,0.491,2004,9291
Carneirinho (MG),311455,0.622,0.749,605,1090
Carneiros (AL),270180,0.398,0.517,1402,5337
Caroebe (RR),140023,0.549,0.6,1484,6320
Carolina (MA),210280,0.529,0.6,3102,9848
Carpina (PE),260400,0.619,0.63,8736,31982
Carrancas (MG),311460,0.632,0.687,673,385
Carrapateira (PB),250410,0.543,0.529,365,1251
Carrasco Bonito (TO),170389,0.531,0.543,831,1403
Caruaru (PE),260410,0.569,0.681,57854,118896
Carutapera (MA),210290,0.476,0.533,1929,16698
Carvalhópolis (MG),311470,0.648,0.688,561,340
Carvalhos (MG),311480,0.492,0.667,431,1385
Casa Branca (SP),351080,0.64,0.727,2514,3115
Casa Grande (MG),311490,0.555,0.608,327,388
Casa Nova (BA),290720,0.435,0.577,10754,36721
Casca (RS),430490,0.733,0.778,423,375
Cascalho Rico (MG),311500,0.604,0.734,399,577
Cascavel (CE),230350,0.578,0.587,12825,29573
Cascavel (PR),410480,0.728,0.776,35302,26619
Caseara (TO),170390,0.534,0.647,838,1986
Caseiros (RS),430495,0.6,0.696,302,521
Casimiro de Abreu (RJ),330130,0.642,0.734,5389,9852
Casinhas (PE),260415,0.489,0.518,1742,8157
Casserengue (PB),250415,0.379,0.492,752,3984
Cássia (MG),311510,0.576,0.723,2495,3519
Cássia dos Coqueiros (SP),351090,0.673,0.68,272,421
Cassilândia (MS),500290,0.627,0.756,3082,2532
Castanhal (PA),150240,0.582,0.654,34255,50746
Castanheira (MT),510285,0.547,0.671,944,1211
Castanheiras (RO),110090,0.547,0.65,613,615
Castelândia (GO),520505,0.578,0.724,495,1175
Castelo (ES),320140,0.639,0.703,3885,4076
Castelo do Piauí (PI),220260,0.473,0.566,2228,9543
Castilho (SP),351100,0.686,0.688,2432,2884
Castro (PR),410490,0.6,0.704,8816,12895
Castro Alves (BA),290730,0.504,0.591,4123,10359
Cataguases (MG),311530,0.685,0.718,7043,8563
Catalão (GO),520510,0.715,0.769,8936,14087
Catanduva (SP),351110,0.74,0.767,5857,6809
Catanduvas (PR),410500,0.573,0.677,1842,842
Catanduvas (SC),420400,0.625,0.723,1211,1024
Catarina (CE),230360,0.56,0.551,1634,4738
Catas Altas (MG),311535,0.582,0.665,673,1116
Catas Altas da Noruega (MG),311540,0.46,0.588,360,955
Catende (PE),260420,0.515,0.578,3335,17388
Catiguá (SP),351120,0.676,0.734,687,511
Catingueira (PB),250420,0.455,0.553,562,2348
Catolândia (BA),290740,0.452,0.554,431,1850
Catolé do Rocha (PB),250430,0.539,0.617,3613,10934
Catu (BA),290750,0.578,0.66,5593,19114
Catuípe (RS),430500,0.627,0.763,919,963
Catuji (MG),311545,0.382,0.534,1361,3537
Catunda (CE),230365,0.587,0.537,822,5749
Caturaí (GO),520520,0.54,0.665,984,1626
Caturama (BA),290755,0.446,0.543,1211,3300
Caturité (PB),250435,0.502,0.617,1116,2796
Catuti (MG),311547,0.549,0.563,662,2575
Caucaia (CE),230370,0.632,0.62,44878,140035
Cavalcante (GO),520530,0.415,0.595,2070,3671
Caxambu (MG),311550,0.629,0.77,2778,3210
Caxambu do Sul (SC),420410,0.523,0.725,430,485
Caxias (MA),210300,0.543,0.595,30722,41844
Caxias do Sul (RS),430510,0.686,0.812,27693,25401
Caxingó (PI),220265,0.329,0.498,998,3222
Ceará-Mirim (RN),240260,0.505,0.599,14634,26701
Cedral (MA),210310,0.57,0.52,744,6105
Cedral (SP),351130,0.689,0.749,1331,410
Cedro (CE),230380,0.553,0.592,3812,9595
Cedro (PE),260430,0.573,0.565,1978,5306
Cedro de São João (SE),280160,0.543,0.608,953,2061
Cedro do Abaeté (MG),311560,0.608,0.641,135,215
Celso Ramos (SC),420415,0.692,0.651,262,459
Centenário (RS),430511,0.569,0.707,230,135
Centenário (TO),170410,0.461,0.571,364,719
Centenário do Sul (PR),410510,0.549,0.686,1375,1508
Central (BA),290760,0.538,0.54,2365,7374
Central de Minas (MG),311570,0.54,0.663,772,1599
Central do Maranhão (MA),210312,0.557,0.503,552,5864
Centralina (MG),311580,0.558,0.654,970,1943
Centro do Guilherme (MA),210315,0.442,0.51,646,8341
Centro Novo do Maranhão (MA),210317,0.382,0.508,1551,11069
Cerejeiras (RO),110005,0.602,0.688,2280,2711
Ceres (GO),520540,0.733,0.753,2896,2149
Cerqueira César (SP),351140,0.666,0.71,2646,1900
Cerquilho (SP),351150,0.739,0.758,3822,763
Cerrito (RS),430512,0.504,0.657,829,1042
Cerro Azul (PR),410520,0.391,0.604,2936,5531
Cerro Branco (RS),430513,0.527,0.671,351,667
Cerro Corá (RN),240270,0.518,0.573,1613,4225
Cerro Grande (RS),430515,0.563,0.676,283,465
Cerro Grande do Sul (RS),430517,0.499,0.673,1168,1939
Cerro Largo (RS),430520,0.698,0.752,1032,626
Cerro Negro (SC),420417,0.455,0.634,647,736
Cesário Lange (SP),351160,0.611,0.715,2301,1164
Céu Azul (PR),410530,0.659,0.732,978,399
Cezarina (GO),520545,0.652,0.684,1484,1493
Chã de Alegria (PE),260440,0.529,0.546,1574,7002
Chã Grande (PE),260450,0.443,0.603,2511,10742
Chã Preta (AL),270190,0.481,0.537,677,4405
Chácara (MG),311590,0.512,0.65,579,898
Chalé (MG),311600,0.561,0.636,753,2539
Chapada (RS),430530,0.679,0.752,793,444
Chapada da Natividade (TO),170510,0.497,0.59,622,1214
Chapada de Areia (TO),170460,0.529,0.619,295,588
Chapada do Norte (MG),311610,0.469,0.571,1743,3338
Chapada dos Guimarães (MT),510300,0.578,0.677,2461,5958
Chapada Gaúcha (MG),311615,0.546,0.573,1921,5816
Chapadão do Céu (GO),520547,0.652,0.748,1192,2122
Chapadão do Lageado (SC),420419,0.616,0.68,158,87
Chapadão do Sul (MS),500295,0.665,0.758,3808,3591
Chapadinha (MA),210320,0.517,0.554,6090,51371
Chapecó (SC),420420,0.727,0.779,18892,9728
Charqueada (SP),351170,0.675,0.72,1242,2471
Charqueadas (RS),430535,0.659,0.726,2843,4086
Charrua (RS),430537,0.385,0.699,327,849
Chaval (CE),230390,0.536,0.524,2303,5995
Chavantes (SP),355720,0.655,0.713,1348,1754
Chaves (PA),150250,0.234,0.516,1655,16120
Chiador (MG),311620,0.559,0.742,532,689
Chiapetta (RS),430540,0.657,0.702,502,407
Chopinzinho (PR),410540,0.671,0.74,1915,2666
Choró (CE),230393,0.523,0.493,1876,5778
Chorozinho (CE),230395,0.522,0.57,3659,8899
Chorrochó (BA),290770,0.503,0.552,1031,6478
Chuí (RS),430543,0.658,0.676,909,941
Chupinguaia (RO),110092,0.514,0.659,1340,2201
Chuvisca (RS),430544,0.437,0.655,679,573
Cianorte (PR),410550,0.685,0.747,7799,5467
Cícero Dantas (BA),290780,0.477,0.59,4080,11638
Cidade Gaúcha (PR),410560,0.645,0.712,1475,737
Cidade Ocidental (GO),520549,0.641,0.706,13784,26336
Cidelândia (MA),210325,0.529,0.562,1559,7502
Cidreira (RS),430545,0.625,0.73,2187,3598
Cipó (BA),290790,0.496,0.589,2658,8838
Cipotânea (MG),311630,0.437,0.592,947,1667
Ciríaco (RS),430550,0.6,0.724,427,357
Claraval (MG),311640,0.584,0.687,571,1005
Claro dos Poções (MG),311650,0.625,0.601,1330,2204
Cláudia (MT),510305,0.586,0.719,1435,2071
Cláudio (MG),311660,0.602,0.701,3366,2584
Clementina (SP),351190,0.66,0.704,947,823
Clevelândia (PR),410570,0.573,0.718,3021,1862
Coaraci (BA),290800,0.491,0.615,2329,7863
Coari (AM),130120,0.425,0.606,7251,43804
Cocal (PI),220270,0.334,0.516,4226,14890
Cocal de Telha (PI),220271,0.399,0.55,502,2659
Cocal do Sul (SC),420425,0.74,0.747,700,469
Cocal dos Alves (PI),220272,0.315,0.504,1191,3190
Cocalinho (MT),510310,0.528,0.674,957,1319
Cocalzinho de Goiás (GO),520551,0.531,0.648,3063,8405
Cocos (BA),290810,0.471,0.558,2497,8381
Codajás (AM),130130,0.421,0.546,3291,12933
Codó (MA),210330,0.492,0.568,11676,51722
Coelho Neto (MA),210340,0.454,0.544,4419,22750
Coimbra (MG),311670,0.558,0.649,1303,1431
Coité do Nóia (AL),270200,0.398,0.52,1674,5292
Coivaras (PI),220273,0.453,0.543,771,2246
Colares (PA),150260,0.528,0.541,1617,7226
Colatina (ES),320150,0.668,0.738,16209,10705
Colíder (MT),510320,0.604,0.732,3995,2536
Colina (SP),351200,0.712,0.72,1430,1081
Colinas (MA),210350,0.524,0.571,3461,20502
Colinas (RS),430558,0.678,0.786,95,94
Colinas do Sul (GO),520552,0.549,0.633,626,1553
Colinas do Tocantins (TO),170550,0.614,0.69,5626,8964
Colméia (TO),171670,0.574,0.645,1291,2424
Colniza (MT),510325,0.443,0.633,6220,3966
Colômbia (SP),351210,0.647,0.689,809,1452
Colombo (PR),410580,0.632,0.715,26703,31212
Colônia do Gurguéia (PI),220275,0.55,0.578,605,3835
Colônia do Piauí (PI),220277,0.462,0.57,821,3564
Colônia Leopoldina (AL),270210,0.363,0.548,1657,10337
Colorado (PR),410590,0.649,0.747,2168,994
Colorado (RS),430560,0.674,0.775,212,107
Colorado do Oeste (RO),110006,0.584,0.676,1928,1051
Coluna (MG),311680,0.43,0.59,1286,3389
Combinado (TO),170555,0.639,0.649,1084,1610
Comendador Gomes (MG),311690,0.566,0.703,411,505
Comendador Levy Gasparian (RJ),330095,0.605,0.676,1374,1775
Comercinho (MG),311700,0.462,0.566,919,3014
Comodoro (MT),510330,0.567,0.687,2062,5095
Conceição (PB),250440,0.476,0.577,1871,9135
Conceição da Aparecida (MG),311710,0.566,0.688,2089,1359
Conceição da Barra (ES),320160,0.603,0.648,5080,10059
Conceição da Barra de Minas (MG),311520,0.59,0.668,499,979
Conceição da Feira (BA),290820,0.548,0.606,3136,8016
Conceição das Alagoas (MG),311730,0.57,0.734,3485,4854
Conceição das Pedras (MG),311720,0.566,0.642,248,925
Conceição de Ipanema (MG),311740,0.565,0.664,542,1953
Conceição de Macabu (RJ),330140,0.642,0.698,1911,6713
Conceição do Almeida (BA),290830,0.479,0.578,2683,5791
Conceição do Araguaia (PA),150270,0.54,0.631,9430,9545
Conceição do Canindé (PI),220280,0.482,0.559,499,3005
Conceição do Castelo (ES),320170,0.541,0.685,1855,2198
Conceição do Coité (BA),290840,0.517,0.587,12472,28497
Conceição do Jacuípe (BA),290850,0.579,0.63,4379,12210
Conceição do Lago-Açu (MA),210355,0.37,0.492,1924,8888
Conceição do Mato Dentro (MG),311750,0.517,0.622,3143,4534
Conceição do Pará (MG),311760,0.588,0.687,760,813
Conceição do Rio Verde (MG),311770,0.522,0.675,2366,2156
Conceição do Tocantins (TO),170560,0.478,0.588,794,1256
Conceição dos Ouros (MG),311780,0.618,0.668,1655,1483
Conchal (SP),351220,0.614,0.699,2856,5285
Conchas (SP),351230,0.658,0.725,1670,2463
Concórdia (SC),420430,0.756,0.777,3854,2364
Concórdia do Pará (PA),150275,0.438,0.56,3512,18563
Condado (PB),250450,0.476,0.573,789,3092
Condado (PE),260460,0.527,0.581,4139,9217
Conde (BA),290860,0.451,0.551,2486,13624
Conde (PB),250460,0.5,0.591,5700,13325
Condeúba (BA),290870,0.447,0.559,2651,7218
Condor (RS),430570,0.666,0.735,466,715
Cônego Marinho (MG),311783,0.544,0.55,1034,3430
Confins (MG),311787,0.711,0.706,910,523
Confresa (MT),510335,0.556,0.66,4980,7257
Congo (PB),250470,0.477,0.562,789,2884
Congonhal (MG),311790,0.626,0.681,1728,1317
Congonhas (MG),311800,0.665,0.732,5510,4866
Congonhas do Norte (MG),311810,0.433,0.566,560,1590
Congonhinhas (PR),410600,0.562,0.655,1366,2406
Conquista (MG),311820,0.618,0.714,695,1169
Conquista D'Oeste (MT),510336,0.65,0.707,496,874
Conselheiro Lafaiete (MG),311830,0.697,0.736,11324,8667
Conselheiro Mairinck (PR),410610,0.65,0.675,652,524
Conselheiro Pena (MG),311840,0.537,0.646,2667,5109
Consolação (MG),311850,0.602,0.627,259,496
Constantina (RS),430580,0.668,0.726,713,1059
Contagem (MG),311860,0.697,0.745,53921,96984
Contenda (PR),410620,0.555,0.697,2526,3525
Contendas do Sincorá (BA),290880,0.477,0.579,819,2050
Coqueiral (MG),311870,0.601,0.663,1524,1925
Coqueiro Baixo (RS),430583,0.532,0.703,52,43
Coqueiro Seco (AL),270220,0.457,0.582,844,2312
Coqueiros do Sul (RS),430585,0.614,0.806,114,144
Coração de Jesus (MG),311880,0.57,0.575,3888,9226
Coração de Maria (BA),290890,0.489,0.558,3010,13307
Corbélia (PR),410630,0.683,0.728,2933,733
Cordeiro (RJ),330150,0.649,0.724,2231,3963
Cordeirópolis (SP),351240,0.674,0.754,2464,381
Cordeiros (BA),290900,0.454,0.561,1413,3175
Cordilheira Alta (SC),420435,0.662,0.735,291,405
Cordisburgo (MG),311890,0.558,0.644,994,2396
Cordislândia (MG),311900,0.544,0.654,504,1009
Coreaú (CE),230400,0.568,0.526,3752,9988
Coremas (PB),250480,0.452,0.578,1699,7885
Corguinho (MS),500310,0.531,0.684,586,855
Coribe (BA),290910,0.491,0.545,1508,8012
Corinto (MG),311910,0.562,0.664,3265,5653
Cornélio Procópio (PR),410640,0.692,0.746,4134,3549
Coroaci (MG),311920,0.493,0.613,1144,2753
Coroados (SP),351250,0.648,0.704,781,775
Coroatá (MA),210360,0.475,0.545,8979,27696
Coromandel (MG),311930,0.565,0.73,3011,4834
Coronel Barros (RS),430587,0.61,0.793,174,228
Coronel Bicaco (RS),430590,0.55,0.667,992,1329
Coronel Domingos Soares (PR),410645,0.447,0.609,980,1830
Coronel Ezequiel (RN),240280,0.476,0.545,756,2560
Coronel Fabriciano (MG),311940,0.696,0.715,11566,12139
Coronel Freitas (SC),420440,0.653,0.732,735,990
Coronel João Pessoa (RN),240290,0.471,0.549,877,1637
Coronel João Sá (BA),290920,0.392,0.545,1719,9334
Coronel José Dias (PI),220285,0.433,0.518,411,3035
Coronel Macedo (SP),351260,0.619,0.653,635,861
Coronel Martins (SC),420445,0.609,0.678,191,119
Coronel Murta (MG),311950,0.543,0.578,1476,3083
Coronel Pacheco (MG),311960,0.565,0.673,445,367
Coronel Pilar (RS),430593,0.6,0.766,64,20
Coronel Sapucaia (MS),500315,0.417,0.607,1922,9391
Coronel Vivida (PR),410650,0.653,0.714,2299,2054
Coronel Xavier Chaves (MG),311970,0.563,0.67,691,260
Córrego Danta (MG),311980,0.575,0.683,346,347
Córrego do Bom Jesus (MG),311990,0.592,0.665,419,416
Córrego do Ouro (GO),520570,0.578,0.696,333,511
Córrego Fundo (MG),311995,0.597,0.657,714,241
Córrego Novo (MG),312000,0.525,0.596,441,926
Correia Pinto (SC),420455,0.614,0.701,1697,2439
Corrente (PI),220290,0.54,0.62,4991,10239
Correntes (PE),260470,0.385,0.551,1217,8855
Correntina (BA),290930,0.481,0.575,4795,12088
Cortês (PE),260480,0.478,0.541,1951,5611
Corumbá (MS),500320,0.586,0.701,15475,28135
Corumbá de Goiás (GO),520580,0.571,0.665,1299,2895
Corumbaíba (GO),520590,0.582,0.703,898,1769
Corumbataí (SP),351270,0.7,0.728,400,487
Corumbataí do Sul (PR),410655,0.52,0.632,638,635
Corumbiara (RO),110007,0.473,0.63,1302,628
Corupá (SC),420450,0.707,0.768,875,976
Coruripe (AL),270230,0.541,0.591,5800,19789
Cosmópolis (SP),351280,0.697,0.746,4024,3731
Cosmorama (SP),351290,0.63,0.705,715,1715
Costa Marques (RO),110008,0.493,0.616,2204,5080
Costa Rica (MS),500325,0.606,0.717,3544,7605
Cotegipe (BA),290940,0.504,0.545,1590,6461
Cotia (SP),351300,0.707,0.789,24079,29762
Cotiporã (RS),430595,0.636,0.767,155,54
Cotriguaçu (MT),510337,0.423,0.623,1500,1978
Couto de Magalhães de Minas (MG),312010,0.592,0.6,765,1451
Couto Magalhães (TO),170600,0.508,0.574,1026,2037
Coxilha (RS),430597,0.586,0.693,284,182
Coxim (MS),500330,0.579,0.719,4514,6886
Coxixola (PB),250485,0.567,0.586,314,905
Craíbas (AL),270235,0.408,0.517,3686,14203
Crateús (CE),230410,0.55,0.618,10634,23867
Crato (CE),230420,0.673,0.655,24568,43314
Cravinhos (SP),351310,0.683,0.737,2847,4456
Cravolândia (BA),290950,0.503,0.559,757,2086
Criciúma (SC),420460,0.737,0.786,10627,11541
Crisólita (MG),312015,0.432,0.579,770,2173
Crisópolis (BA),290960,0.387,0.542,2370,10926
Crissiumal (RS),430600,0.616,0.702,1529,607
Cristais (MG),312020,0.525,0.736,2275,1686
Cristais Paulista (SP),351320,0.682,0.723,1176,607
Cristal (RS),430605,0.471,0.687,1119,1581
Cristal do Sul (RS),430607,0.542,0.641,382,590
Cristalândia (TO),170610,0.57,0.663,827,2169
Cristalândia do Piauí (PI),220300,0.469,0.521,1339,3178
Cristália (MG),312030,0.482,0.518,886,3160
Cristalina (GO),520620,0.587,0.716,7478,16028
Cristiano Otoni (MG),312040,0.626,0.651,727,779
Cristianópolis (GO),520630,0.554,0.703,668,1169
Cristina (MG),312050,0.55,0.645,1646,1535
Cristinápolis (SE),280170,0.414,0.54,2791,8783
Cristino Castro (PI),220310,0.434,0.586,1652,5185
Cristópolis (BA),290970,0.553,0.546,2041,5892
Crixás (GO),520640,0.625,0.706,1925,2271
Crixás do Tocantins (TO),170625,0.555,0.603,435,381
Croatá (CE),230423,0.544,0.497,3110,8355
Cromínia (GO),520650,0.634,0.692,525,1268
Crucilândia (MG),312060,0.518,0.653,909,828
Cruz (CE),230425,0.586,0.573,4386,13423
Cruz Alta (RS),430610,0.653,0.754,4665,7425
Cruz das Almas (BA),290980,0.65,0.659,7595,21774
Cruz do Espírito Santo (PB),250490,0.408,0.531,2311,8709
Cruz Machado (PR),410680,0.545,0.635,2393,3321
Cruzália (SP),351330,0.778,0.698,213,285
Cruzaltense (RS),430613,0.605,0.724,116,61
Cruzeiro (SP),351340,0.758,0.742,6198,12240
Cruzeiro da Fortaleza (MG),312070,0.562,0.72,673,943
Cruzeiro do Iguaçu (PR),410657,0.641,0.703,479,542
Cruzeiro do Oeste (PR),410660,0.64,0.698,2743,2167
Cruzeiro do Sul (AC),120020,0.582,0.648,12356,41753
Cruzeiro do Sul (PR),410670,0.641,0.682,671,580
Cruzeiro do Sul (RS),430620,0.607,0.746,900,970
Cruzeta (RN),240300,0.621,0.602,1374,2787
Cruzília (MG),312080,0.587,0.671,2150,3548
Cruzmaltina (PR),410685,0.593,0.65,480,541
Cubatão (SP),351350,0.681,0.716,9349,19472
Cubati (PB),250500,0.448,0.545,1177,3824
Cuiabá (MT),510340,0.726,0.8,74583,94908
Cuité (PB),250510,0.47,0.574,2457,8970
Cuité de Mamanguape (PB),250523,0.398,0.529,1003,3291
Cuitegi (PB),250520,0.45,0.563,1055,3366
Cujubim (RO),110094,0.439,0.663,3344,3297
Cumari (GO),520660,0.657,0.744,342,616
Cumaru (PE),260490,0.47,0.553,2004,8453
Cumaru do Norte (PA),150276,0.33,0.635,1740,4738
Cumbe (SE),280190,0.512,0.576,537,1880
Cunha (SP),351360,0.576,0.672,3677,5154
Cunha Porã (SC),420470,0.682,0.744,602,409
Cunhataí (SC),420475,0.623,0.777,54,25
Cuparaque (MG),312083,0.497,0.621,632,1344
Cupira (PE),260500,0.453,0.601,3684,10063
Curaçá (BA),290990,0.463,0.544,5190,18012
Curimatá (PI),220320,0.527,0.574,1785,5555
Curionópolis (PA),150277,0.536,0.592,3196,8257
Curitiba (PR),410690,0.768,0.85,123481,124615
Curitibanos (SC),420480,0.62,0.716,4893,5071
Curiúva (PR),410700,0.546,0.649,1901,2978
Currais (PI),220323,0.438,0.49,1054,2749
Currais Novos (RN),240310,0.617,0.673,7563,10376
Curral de Cima (PB),250527,0.392,0.528,431,3829
Curral de Dentro (MG),312087,0.462,0.571,996,4138
Curral Novo do Piauí (PI),220327,0.422,0.506,737,3500
Curral Velho (PB),250530,0.491,0.613,336,1110
Curralinho (PA),150280,0.323,0.508,3679,25925
Curralinhos (PI),220325,0.438,0.512,790,2308
Curuá (PA),150285,0.495,0.501,2487,8865
Curuçá (PA),150290,0.48,0.542,4177,24787
Cururupu (MA),210370,0.525,0.568,1889,19680
Curvelândia (MT),510343,0.615,0.658,683,1444
Curvelo (MG),312090,0.617,0.689,10388,13382
Custódia (PE),260510,0.489,0.607,3470,18835
Cutias (AP),160021,0.566,0.576,1048,3619
Damianópolis (GO),520670,0.558,0.614,607,1563
Damião (PB),250535,0.391,0.503,631,3041
Damolândia (GO),520680,0.6,0.688,492,1223
Darcinópolis (TO),170650,0.429,0.597,1122,2521
Dário Meira (BA),291000,0.392,0.522,1544,5167
Datas (MG),312100,0.524,0.59,1052,2421
David Canabarro (RS),430630,0.688,0.74,232,168
Davinópolis (GO),520690,0.606,0.702,317,625
Davinópolis (MA),210375,0.535,0.561,2757,4363
Delfim Moreira (MG),312110,0.552,0.649,951,1659
Delfinópolis (MG),312120,0.661,0.702,1151,1042
Delmiro Gouveia (AL),270240,0.494,0.599,8162,19404
Delta (MG),312125,0.481,0.672,1170,3047
Demerval Lobão (PI),220330,0.515,0.588,1902,8882
Denise (MT),510345,0.59,0.672,875,1603
Deodápolis (MS),500345,0.595,0.693,1927,1529
Deputado Irapuan Pinheiro (CE),230426,0.562,0.542,1503,3505
Derrubadas (RS),430632,0.628,0.664,215,193
Descalvado (SP),351370,0.687,0.74,2546,1373
Descanso (SC),420490,0.647,0.741,445,378
Descoberto (MG),312130,0.599,0.657,863,1151
Desterro (PB),250540,0.49,0.551,774,4916
Desterro de Entre Rios (MG),312140,0.536,0.607,1053,666
Desterro do Melo (MG),312150,0.503,0.618,448,836
Dezesseis de Novembro (RS),430635,0.553,0.625,260,653
Diadema (SP),351380,0.716,0.717,29022,55695
Diamante (PB),250560,0.496,0.562,1015,3080
Diamante do Norte (PR),410710,0.657,0.699,547,771
Diamante do Sul (PR),410712,0.479,0.605,583,928
Diamante D'Oeste (PR),410715,0.532,0.647,731,889
Diamantina (MG),312160,0.632,0.693,8440,9473
Diamantino (MT),510350,0.625,0.714,3278,2353
Dianópolis (TO),170700,0.624,0.673,3495,3823
Dias D'Ávila (BA),291005,0.584,0.651,8462,27097
Dilermando de Aguiar (RS),430637,0.463,0.681,361,620
Diogo de Vasconcelos (MG),312170,0.464,0.578,553,1039
Dionísio (MG),312180,0.647,0.651,980,1725
Dionísio Cerqueira (SC),420500,0.61,0.703,1189,1491
Diorama (GO),520710,0.696,0.663,313,366
Dirce Reis (SP),351385,0.704,0.686,236,150
Dirceu Arcoverde (PI),220335,0.436,0.563,764,3909
Divina Pastora (SE),280200,0.527,0.571,810,1892
Divinésia (MG),312190,0.559,0.645,772,907
Divino (MG),312200,0.421,0.639,4179,5532
Divino das Laranjeiras (MG),312210,0.571,0.624,558,1571
Divino de São Lourenço (ES),320180,0.496,0.622,1089,1059
Divinolândia (SP),351390,0.645,0.72,833,2258
Divinolândia de Minas (MG),312220,0.495,0.603,1197,2833
Divinópolis (MG),312230,0.702,0.753,20958,21151
Divinópolis de Goiás (GO),520830,0.55,0.624,766,2358
Divinópolis do Tocantins (TO),170710,0.585,0.667,980,2222
Divisa Alegre (MG),312235,0.515,0.603,1118,2916
Divisa Nova (MG),312240,0.57,0.66,1119,817
Divisópolis (MG),312245,0.489,0.577,743,5281
Dobrada (SP),351400,0.655,0.691,1016,1545
Dois Córregos (SP),351410,0.616,0.725,2612,2939
Dois Irmãos (RS),430640,0.633,0.763,1109,611
Dois Irmãos das Missões (RS),430642,0.585,0.646,354,328
Dois Irmãos do Buriti (MS),500348,0.528,0.64,1667,3556
